产品,课程页面,锚文本,跳转链接
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_10.html,MQ-2 gas sensor module2,https://www.sunfounder.com/products/gas-sensor-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_11.html,Humiture sensor module,https://www.sunfounder.com/products/humiture-sensor-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_12.html,Joystick PS2 module,https://www.sunfounder.com/products/joystick-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_13.html,Button module,https://www.sunfounder.com/products/button-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_15.html,Touch Switch module,https://www.sunfounder.com/products/touch-switch
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_16.html,Photo-interrupter module,https://www.sunfounder.com/products/photo-interrupter-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_17.html,Photoresistor sensor module,https://www.sunfounder.com/products/photoresistor-sensor-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_18.html,Reed Switch module,https://www.sunfounder.com/products/reed-switch-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_19.html,Relay module,https://www.sunfounder.com/products/1channel-dc5v-relay-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_20.html,Potentiometer module,https://www.sunfounder.com/products/potentiometer-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_21.html,Tilt switch module,https://www.sunfounder.com/products/tilt-switch-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_22.html,Active buzzer,https://www.sunfounder.com/products/active-buzzer-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_22.html,Passive buzzer,https://www.sunfounder.com/products/passive-buzzer-module
